"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0059001008,0,0,0,0,0,0,0,0
0059002003,33,69,0,0,0,7,0,109
0059002005,34,58,0,3,0,0,3,98
0059002008,18,27,0,10,0,3,0,58
0059002013,95,23,0,1,0,1,0,120
0059003011,9,1,0,0,0,0,4,14
0059004000,29,78,0,10,0,0,1,118
0059004002,8,23,0,0,0,1,2,34
0059001004,37,67,0,8,0,5,0,117
0059001006,34,31,0,15,0,3,1,84
0059001014,38,8,1,0,0,0,0,47
0059002010,33,14,0,0,0,2,0,49
0059003005,0,0,0,0,0,0,0,0
0059003014,11,20,0,0,0,0,1,32
0059003016,0,0,0,0,0,0,0,0
0059004007,48,19,0,9,0,6,2,84
0059004011,28,12,0,25,0,4,0,69
0059004013,0,0,0,0,0,0,0,0
0059001001,30,69,1,0,0,0,0,100
0059001007,45,20,0,0,0,2,0,67
0059001010,0,0,0,0,0,0,0,0
0059003003,23,54,0,20,1,3,1,102
0059003007,0,0,0,0,0,0,0,0
0059004006,38,34,0,15,0,2,5,94
0059002000,28,84,0,0,0,5,0,117
0059002009,5,7,0,0,0,0,0,12
0059003000,12,107,0,18,0,0,1,138
0059003001,22,78,0,2,0,3,0,105
0059003009,53,26,0,0,0,5,2,86
0059003015,0,0,0,0,0,0,0,0
0059004012,1,12,0,0,0,0,0,13
0059001002,30,46,0,18,0,0,1,95
0059001005,31,58,0,0,0,1,0,90
0059002011,0,0,0,0,0,0,0,0
0059003008,25,33,0,0,0,5,0,63
0059003010,40,15,0,0,0,0,4,59
0059003013,0,0,0,0,0,0,0,0
0059004004,0,0,0,0,0,0,0,0
0059004009,60,26,0,0,0,3,9,98
0059001000,25,79,3,15,0,1,0,123
0059001009,34,14,0,1,0,5,3,57
0059001012,107,12,0,4,0,4,4,131
0059002002,19,87,0,0,0,3,2,111
0059002004,23,54,1,0,0,0,0,78
0059002006,8,6,0,1,0,5,14,34
0059003004,31,35,0,0,0,0,1,67
0059003006,0,0,0,0,0,0,0,0
0059004001,36,31,0,6,0,0,0,73
0059004014,1,0,0,0,0,0,0,1
0059001003,34,62,0,2,0,7,0,105
0059002001,22,95,0,7,0,3,0,127
0059002007,0,0,0,0,0,0,0,0
0059003002,23,61,0,4,0,1,0,89
0059004003,0,19,0,0,0,0,0,19
0059004010,45,1,0,1,1,1,0,49
0059001011,24,4,0,0,0,2,0,30
0059001013,35,24,0,0,0,4,0,63
0059002012,66,54,0,3,0,9,0,132
0059003012,13,31,0,1,0,0,0,45
0059004005,40,42,0,17,0,4,0,103
0059004008,58,23,0,3,0,5,0,89
,,,,,,,,
"Total Records: 62",,,,,,,,
"Census Tract: 5900",,,,,,,,
