INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310015,01/31/2015,03:55 AM,5,SIMPLE ASSAULT,,,,,3261 N 8TH ST
150310019,01/31/2015,05:36 AM,5,THEFT FROM MOTOR VEHICLE,,,,,3104 N 12TH ST #ALLEY
150310028,01/31/2015,07:16 AM,5,THEFT FROM BUILDING,,,,,145 E RING ST
150310049,01/31/2015,02:15 PM,5,ROBBERY,,,,,2920 N 4TH ST
150310065,01/31/2015,01:21 PM,5,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,3350 N 15TH ST
150310072,01/31/2015,02:43 PM,,HOMICIDE,,,,,3333 N 9TH ST
150310076,01/31/2015,03:05 PM,5,AGGRAVATED ASSAULT,,,,,3751 N 15TH ST
150310086,01/31/2015,05:04 PM,5,MOTOR VEHICLE THEFT,,,,,711 W VLIET ST
150310091,01/31/2015,05:34 PM,5,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,3537 N 9TH ST
150310105,01/31/2015,02:46 PM,5,SIMPLE ASSAULT,,,,,3060 N 7TH ST
150300027,01/30/2015,04:35 AM,5,BURGLARY/BREAKING AND ENTERING,,,,,3853 N HUMBOLDT BL
150300032,01/30/2015,07:00 AM,5,MOTOR VEHICLE THEFT,,,,,306 E LOCUST ST
150300039,01/30/2015,07:36 AM,5,THEFT FROM MOTOR VEHICLE,,,,,3508 N 16TH ST
150300040,01/30/2015,08:24 AM,5,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,1000 W CONCORDIA AV
150300041,01/30/2015,08:29 AM,5,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,3200 N 3RD ST
150300067,01/30/2015,12:44 PM,5,THEFT FROM BUILDING,,,,,2442 N 1ST ST
150300073,01/30/2015,12:33 PM,5,AGGRAVATED ASSAULT,,,,,3476 N 2ND ST
150300080,01/30/2015,06:34 PM,5,ROBBERY,,,,,2745 N MARTIN L KING JR DR
150300084,01/30/2015,02:10 PM,5,AGGRAVATED ASSAULT,,,,,221 W RING ST
150300090,01/30/2015,02:03 PM,5,ALL OTHER LARCENY,,,,,3827 N 12TH ST
150300105,01/30/2015,06:29 PM,5,SIMPLE ASSAULT,,,,,3272 N 5TH ST #LWR
150300114,01/30/2015,05:01 PM,5,SIMPLE ASSAULT,,,,,1555 W CHAMBERS ST
150300135,01/30/2015,08:38 PM,5,AGGRAVATED ASSAULT,,,,,440 E BURLEIGH ST
150300139,01/30/2015,11:19 PM,5,SIMPLE ASSAULT,,,,,3920-A N 22ND ST
150290028,01/29/2015,05:42 AM,5,ROBBERY,,,,,2000 W HOPKINS ST
150290029,01/29/2015,05:57 AM,5,MOTOR VEHICLE THEFT,,,,,1840 N 6TH ST
150290045,01/29/2015,08:49 AM,5,MOTOR VEHICLE THEFT,,,,,221 E GARFIELD AV
150290065,01/29/2015,11:30 AM,5,BURGLARY/BREAKING AND ENTERING,,,,,2506 N MARTIN L KING JR DR
150290083,01/29/2015,12:33 PM,5,BURGLARY/BREAKING AND ENTERING,,,,,3237 N 20TH ST
150290098,01/29/2015,02:28 PM,5,THEFT FROM BUILDING,,,,,4108 N RICHARDS ST
150290100,01/29/2015,03:46 PM,5,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,1808 W NASH ST
150290160,01/29/2015,09:02 PM,5,AGGRAVATED ASSAULT,,,,,3453 N 11TH ST
150290160,01/29/2015,09:02 PM,5,SIMPLE ASSAULT,,,,,3453 N 11TH ST
150280035,01/28/2015,09:48 AM,5,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,3239 N 13TH ST
150280048,01/28/2015,11:44 AM,5,THEFT FROM BUILDING,,,,,371 W WRIGHT ST
150280063,01/28/2015,12:19 PM,5,THEFT FROM BUILDING,,,,,3401 N 15TH ST
150280074,01/28/2015,12:52 PM,5,SIMPLE ASSAULT,,,,,3318-A N 17TH ST
150280085,01/28/2015,03:24 PM,5,SIMPLE ASSAULT,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,514 W VIENNA AV
150280100,01/28/2015,05:34 PM,5,MOTOR VEHICLE THEFT,,,,,3054 N 10TH ST
150280103,01/28/2015,06:26 PM,5,ALL OTHER LARCENY,,,,,3642 N 26TH ST
150280109,01/28/2015,06:07 PM,5,MOTOR VEHICLE THEFT,,,,,139 E GARFIELD AV
150280142,01/28/2015,08:32 PM,5,ROBBERY,,,,,2410 N MARTIN L KING JR DR
150280150,01/28/2015,10:20 PM,5,BURGLARY/BREAKING AND ENTERING,,,,,3622 N 26TH ST
150280163,01/28/2015,09:51 PM,5,SIMPLE ASSAULT,,,,,216 E LOCUST ST
150270016,01/27/2015,03:11 AM,5,BURGLARY/BREAKING AND ENTERING,,,,,138 E CAPITOL DR
150270038,01/27/2015,07:27 AM,5,MOTOR VEHICLE THEFT,,,,,2019 N HUBBARD ST
150270041,01/27/2015,07:41 AM,5,BURGLARY/BREAKING AND ENTERING,,,,,3548 N 16TH ST
150270137,01/27/2015,07:32 PM,5,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,204 E CONCORDIA AV
150280003,01/27/2015,11:59 PM,5,ARSON,,,,,3068 N 11TH ST
150260018,01/26/2015,03:55 AM,5,BURGLARY/BREAKING AND ENTERING,,,,,1901 W ATKINSON AV
150260030,01/26/2015,07:59 AM,5,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,3223 N 3RD ST
150260036,01/26/2015,09:47 AM,5,THEFT FROM MOTOR VEHICLE,,,,,2209 N WEIL ST
150260043,01/26/2015,09:44 AM,1,ALL OTHER LARCENY,,,,,1351 N MARTIN L KING JR DR
